iter	Passed	Remaining
1516	460163	449850
1517	460327	449410
1518	460564	449043
1519	460714	448590
1520	460959	448231
1521	461115	447784
1522	461350	447416
1523	461506	446970
1524	461725	446586
1525	461862	446123
1526	462080	445739
1527	462242	445301
1528	462449	444907
1529	462596	444455
1530	462828	444085
1531	462967	443627
1532	463180	443238
1533	463322	442783
1534	463535	442397
1535	463674	441940
1536	463879	441546
1537	464021	441092
1538	464243	440714
1539	464404	440279
1540	464652	439927
1541	464799	439480
1542	465031	439113
1543	465182	438669
1544	465417	438305
1545	465578	437872
1546	466066	437747
1547	466613	437676
1548	467307	437742
1549	467878	437692
1550	468609	437792
1551	469139	437702
1552	469813	437746
1553	470378	437688
1554	471077	437754
1555	471621	437674
1556	472314	437732
1557	472904	437694
1558	473561	437717
1559	474088	437619
1560	474741	437638
1561	475364	437627
1562	476065	437688
1563	476631	437623
1564	477443	437784
1565	477985	437695
1566	478646	437715
1567	479161	437601
1568	479806	437605
1569	480324	437492
1570	480995	437518
1571	481518	437410
1572	482178	437424
1573	482763	437370
1574	483512	437463
1575	484069	437382
1576	484717	437383
1577	485252	437281
1578	485867	437250
1579	486381	437128
1580	487005	437103
1581	487534	436993
1582	488157	436967
1583	488652	436826
1584	489305	436824
1585	489802	436683
1586	490435	436663
1587	490925	436516
1588	491558	436494
1589	492066	436360
1590	492670	436312
1591	493161	436163
1592	493800	436143
1593	494315	436014
1594	494927	435970
1595	495433	435832
1596	496071	435809
1597	496586	435678
1598	497229	435658
1599	497746	435528
1600	498361	435482
1601	498896	435366
1602	499519	435326
1603	500070	435223
1604	500734	435217
1605	501235	435070
1606	501849	435019
1607	502360	434879
1608	503002	434851
1609	503495	434694
1610	504127	434657
1611	504630	434507
1612	505247	434456
1613	505760	434315
1614	506409	434288
1615	506908	434134
1616	507532	434086
1617	508042	433940
1618	508697	433917
1619	509234	433792
1620	509866	433748
1621	510378	433601
1622	511013	433558
1623	511531	433415
1624	512171	433375
1625	512727	433264
1626	513360	433216
1627	513858	433055
1628	514476	432994
1629	515020	432869
1630	515881	433011
1631	516382	432850
1632	517033	432813
1633	517566	432678
1634	518210	432634
1635	518732	432488
1636	519348	432420
1637	519863	432267
1638	520498	432214
1639	521039	432081
1640	521674	432026
1641	522210	431888
1642	522832	431822
1643	523351	431669
1644	523985	431610
1645	524487	431443
1646	525107	431372
1647	525663	431248
1648	526344	431225
1649	526882	431085
1650	527559	431058
1651	528103	430922
1652	528762	430879
1653	529276	430717
1654	529903	430646
1655	530408	430476
1656	531035	430404
1657	531546	430238
1658	532167	430160
